stop_id,stop_name,stop_lat,stop_lon
5245,NW 36 ST & NW 66 AV,25.80705,-80.30286
5247,NW 36 ST & OP #5901,25.807399,-80.294654
292,NW 36 ST & 57 AV,25.807363,-80.290664
5248,NW 36 ST & # 5600,25.807558,-80.287029
5249,NW 36 ST & # 5400,25.807666,-80.28397
5250,NW 36 ST & SOUTH DR,25.807828,-80.279216
5251,NW 36 ST & LA VILLA DR,25.80792,-80.27636
5252,NW 36 ST & MILLER DR,25.808081,-80.271657
8503,NW 36 ST & RAGAN ST,25.808409,-80.268128
66,NW 36 ST & COOLIDGE DR,25.808483,-80.265315
7742,NW 36 ST & NW 37 PL,25.808439,-80.258811
7744,NW 36 ST & NW 36 AV,25.808546,-80.25474
293,NW 36 ST & 33 AV,25.80868,-80.250602
294,NW 36 ST & 32 AV,25.808762,-80.247802
7745,NW 36 ST & NW 30 AV,25.808881,-80.243697
7747,NW 36 ST & 27 AV,25.808985,-80.240456
7749,NW 36 ST & NW 24 AV,25.809153,-80.235767
7751,NW 36 ST & NW 22 AV,25.80926,-80.232253
7753,NW 36 ST & NW 19 AV,25.809352,-80.228199
7755,NW 36 ST & NW 17 AV,25.809426,-80.224483
7757,NW 36 ST & NW 14 AV,25.809595,-80.219535
remix_1f27077d-4d72-44fb-acf4-10afa65acee6,Untitled Stop,25.8098845769194,-80.2159153569841
9503,ALLAPATTAH STATION RAIL NORTHBOUND,25.808698,-80.215381
7760,NW 36 ST & NW 9 CT,25.809869,-80.210958
7761,NW 36 ST & NW 7 AV,25.80995,-80.208075
7762,NW 36 ST & NW 5 AV,25.810121,-80.203035
7763,NW 36 ST & NW 2 AV,25.810206,-80.199895
7764,NW 36 ST & NW 1 AV,25.810289,-80.19714
7766,NE 36 ST & NE 1 AV,25.810401,-80.193748
10539,NE 36 ST & 2 AV,25.810479,-80.191478
1175,NE 36 ST & BISCAYNE BD,25.810598,-80.188556
687,41 ST & ALTON RD,25.81306,-80.135248
718,41 ST & MERIDIAN AV,25.813744,-80.133188
2911,41 ST & PRAIRIE AV,25.813756,-80.131071
2912,41 ST & SHERIDAN AV,25.813652,-80.127155
2632,COLLINS AV@44 ST,25.815727,-80.122521
2909,41 ST & SHERIDAN AV,25.81388,-80.126881
2910,41 ST & PRAIRIE AV,25.813974,-80.131267
727,41 ST & MERIDIAN AV,25.814003,-80.133335
685,41 ST & ALTON RD,25.813206,-80.135641
38,BISCAYNE BLVD & NE 36 ST,25.811274,-80.189528
284,NE 36 ST & BISCAYNE BLVD,25.810698,-80.190242
7715,NE 36 ST & NE 1 CT,25.810648,-80.191968
7717,NW 36 ST & N MIAMI AV,25.810509,-80.195703
7719,NW 36 ST & NW 2 AV,25.810415,-80.19973
7721,NW 36 ST & NW 5 AV,25.810283,-80.203304
7722,NW 36 ST & NW 7 AV,25.810148,-80.208397
7724,NW 36 ST & NW 10 AV,25.810042,-80.211466
9502,ALLAPATTAH STATION RAIL SOUTHBOUND,25.808694,-80.215549
7726,NW 36 ST & NW 12 PL,25.809873,-80.216594
7727,NW 36 ST & NW 14 AV,25.809749,-80.220094
7729,NW 36 ST & NW 17 AV,25.809646,-80.224261
